log_id,user_id,action,entity_type,entity_id,payload,ip_address,status_code,created_at
11,USR_1014,ORDER_UPDATE,WIRE_BATCH,11789,"{""batch"": ""BATCH_292"", ""risk_score"": 0.54, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11789""}",10.111.20.4,200,2026-09-16 08:50:32
12,USR_1006,ORDER_UPDATE,AUTH_SESSION,11735,"{""batch"": ""BATCH_749"", ""risk_score"": 0.966, ""flagged"": true, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11735"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.217.243.239,500,2026-09-03 21:04:14
13,USR_1037,POLICY_EVAL,CUSTOMER,14519,"{""batch"": ""BATCH_523"", ""risk_score"": 0.128, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 14519""}",10.158.236.168,200,2026-08-30 12:56:23
14,USR_1038,KYC_VERIFY,AUTH_SESSION,11775,"{""batch"": ""BATCH_325"", ""risk_score"": 0.19, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11775""}",10.193.181.167,403,2026-09-13 11:21:25
15,USR_1037,ORDER_CREATE,CUSTOMER,12431,"{""batch"": ""BATCH_866"", ""risk_score"": 0.413, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 12431""}",10.170.61.120,400,2026-09-11 20:34:52
16,USR_1027,BALANCE_INQUIRY,ORDER,14217,"{""batch"": ""BATCH_475"", ""risk_score"": 0.116, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 14217""}",10.255.202.146,403,2026-09-05 06:00:26
17,USR_1091,BALANCE_INQUIRY,WIRE_BATCH,13346,"{""batch"": ""BATCH_435"", ""risk_score"": 0.783, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 13346""}",10.21.117.181,200,2026-09-09 13:22:58
18,USR_1096,BALANCE_INQUIRY,ACCOUNT,11494,"{""batch"": ""BATCH_683"", ""risk_score"": 0.836, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 11494""}",10.139.131.164,200,2026-08-23 02:37:10
19,USR_1002,ACCOUNT_AUTH,ACCOUNT,11048,"{""batch"": ""BATCH_433"", ""risk_score"": 0.101, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11048""}",10.173.180.123,400,2026-08-28 10:24:39
20,USR_1059,ACCOUNT_AUTH,ACCOUNT,13971,"{""batch"": ""BATCH_506"", ""risk_score"": 0.415, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 13971""}",10.35.145.37,403,2026-09-02 17:19:03
21,USR_1028,ORDER_UPDATE,ACCOUNT,13866,"{""batch"": ""BATCH_147"", ""risk_score"": 0.544, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 13866""}",10.249.79.46,200,2026-08-24 17:44:51
22,USR_1003,TRANSFER_INITIATE,CUSTOMER,11218,"{""batch"": ""BATCH_418"", ""risk_score"": 0.885, ""flagged"": true, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 11218"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.97.78.43,400,2026-08-20 10:08:44
23,USR_1012,KYC_VERIFY,WIRE_BATCH,13229,"{""batch"": ""BATCH_236"", ""risk_score"": 0.556, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 13229""}",10.235.221.174,400,2026-08-28 10:36:59
24,USR_1078,ORDER_UPDATE,WIRE_BATCH,13833,"{""batch"": ""BATCH_651"", ""risk_score"": 0.925, ""flagged"": true, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 13833"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.150.255.104,500,2026-08-19 23:47:16
25,USR_1007,RISK_FLAG_OVERRIDE,WIRE_BATCH,11277,"{""batch"": ""BATCH_418"", ""risk_score"": 0.307, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11277""}",10.200.193.156,201,2026-09-15 02:33:28
26,USR_1029,POLICY_EVAL,ORDER,14630,"{""batch"": ""BATCH_748"", ""risk_score"": 0.313, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 14630""}",10.209.81.225,400,2026-08-19 14:52:41
27,USR_1068,BALANCE_INQUIRY,CUSTOMER,14746,"{""batch"": ""BATCH_285"", ""risk_score"": 0.338, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 14746""}",10.218.84.147,500,2026-08-27 18:34:05
28,USR_1049,POLICY_EVAL,WIRE_BATCH,11199,"{""batch"": ""BATCH_315"", ""risk_score"": 0.801, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 11199""}",10.167.229.189,200,2026-09-11 12:08:51
29,USR_1032,KYC_VERIFY,AUTH_SESSION,14427,"{""batch"": ""BATCH_939"", ""risk_score"": 0.713, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 14427""}",10.84.242.247,200,2026-08-31 22:54:18
30,USR_1060,ACCOUNT_AUTH,ACCOUNT,11974,"{""batch"": ""BATCH_359"", ""risk_score"": 0.635, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11974""}",10.213.203.27,200,2026-09-04 23:33:21
31,USR_1013,KYC_VERIFY,WIRE_BATCH,13165,"{""batch"": ""BATCH_189"", ""risk_score"": 0.546, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 13165""}",10.202.86.129,403,2026-09-13 01:33:37
32,USR_1090,RISK_FLAG_OVERRIDE,WIRE_BATCH,11388,"{""batch"": ""BATCH_378"", ""risk_score"": 0.962, ""flagged"": true, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 11388"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.130.9.194,200,2026-09-05 07:27:54
33,USR_1011,POLICY_EVAL,WIRE_BATCH,12655,"{""batch"": ""BATCH_527"", ""risk_score"": 0.794, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 12655""}",10.153.139.13,200,2026-08-30 05:57:22
34,USR_1013,TRANSFER_INITIATE,WIRE_BATCH,10227,"{""batch"": ""BATCH_224"", ""risk_score"": 0.397, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 10227""}",10.97.137.121,403,2026-09-16 06:03:50
35,USR_1009,ACCOUNT_AUTH,ACCOUNT,14047,"{""batch"": ""BATCH_605"", ""risk_score"": 0.6, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 14047""}",10.1.46.199,200,2026-08-26 14:07:04
36,USR_1004,ORDER_CREATE,AUTH_SESSION,11762,"{""batch"": ""BATCH_198"", ""risk_score"": 0.501, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11762""}",10.92.15.2,200,2026-08-30 11:55:38
37,USR_1075,ORDER_CREATE,CUSTOMER,11245,"{""batch"": ""BATCH_321"", ""risk_score"": 0.082, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 11245""}",10.124.202.164,200,2026-08-22 01:19:41
38,USR_1038,ORDER_UPDATE,WIRE_BATCH,14533,"{""batch"": ""BATCH_281"", ""risk_score"": 0.088, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 14533""}",10.23.93.63,200,2026-09-14 11:42:35
39,USR_1077,POLICY_EVAL,AUTH_SESSION,11535,"{""batch"": ""BATCH_135"", ""risk_score"": 0.827, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 11535""}",10.178.9.230,200,2026-08-23 13:34:48
40,USR_1085,RISK_FLAG_OVERRIDE,AUTH_SESSION,12624,"{""batch"": ""BATCH_508"", ""risk_score"": 0.896, ""flagged"": true, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 12624"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.7.3.179,200,2026-08-23 22:20:10
41,USR_1084,ORDER_CREATE,AUTH_SESSION,13082,"{""batch"": ""BATCH_989"", ""risk_score"": 0.346, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 13082""}",10.89.150.218,201,2026-09-13 12:47:54
42,USR_1031,KYC_VERIFY,ACCOUNT,14181,"{""batch"": ""BATCH_896"", ""risk_score"": 0.481, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 14181""}",10.37.160.73,500,2026-09-02 14:28:29
43,USR_1056,ORDER_CREATE,ORDER,13811,"{""batch"": ""BATCH_741"", ""risk_score"": 0.067, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 13811""}",10.231.5.35,500,2026-08-25 15:37:06
44,USR_1069,ACCOUNT_AUTH,ORDER,12085,"{""batch"": ""BATCH_154"", ""risk_score"": 0.056, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 12085""}",10.4.103.73,200,2026-08-27 11:59:46
45,USR_1027,ACCOUNT_AUTH,ORDER,13117,"{""batch"": ""BATCH_782"", ""risk_score"": 0.678, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 13117""}",10.191.109.46,201,2026-08-22 12:24:36
46,USR_1070,TRANSFER_INITIATE,ACCOUNT,12870,"{""batch"": ""BATCH_291"", ""risk_score"": 0.707, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 12870""}",10.82.184.38,200,2026-08-26 18:52:29
47,USR_1012,TRANSFER_INITIATE,ORDER,10809,"{""batch"": ""BATCH_547"", ""risk_score"": 0.468, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 10809""}",10.148.84.136,200,2026-08-26 22:52:55
48,USR_1050,RISK_FLAG_OVERRIDE,ORDER,10832,"{""batch"": ""BATCH_867"", ""risk_score"": 0.752, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 10832""}",10.228.56.29,403,2026-09-10 13:21:28
49,USR_1095,POLICY_EVAL,ACCOUNT,14898,"{""batch"": ""BATCH_107"", ""risk_score"": 0.186, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 14898""}",10.170.96.130,403,2026-08-31 06:43:09
50,USR_1097,ACCOUNT_AUTH,AUTH_SESSION,13625,"{""batch"": ""BATCH_339"", ""risk_score"": 0.774, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 13625""}",10.87.20.158,201,2026-08-22 21:15:09
51,USR_1062,BALANCE_INQUIRY,ACCOUNT,10190,"{""batch"": ""BATCH_389"", ""risk_score"": 0.937, ""flagged"": true, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 10190"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.184.101.20,201,2026-08-22 10:17:23
52,USR_1008,BALANCE_INQUIRY,ORDER,13665,"{""batch"": ""BATCH_430"", ""risk_score"": 0.789, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 13665""}",10.132.163.42,201,2026-09-07 20:47:17
53,USR_1063,RISK_FLAG_OVERRIDE,ORDER,11907,"{""batch"": ""BATCH_900"", ""risk_score"": 0.497, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11907""}",10.223.231.157,500,2026-08-21 05:27:19
54,USR_1094,ORDER_UPDATE,WIRE_BATCH,11862,"{""batch"": ""BATCH_124"", ""risk_score"": 0.647, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11862""}",10.139.150.213,200,2026-09-04 07:35:58
55,USR_1066,TRANSFER_INITIATE,CUSTOMER,12685,"{""batch"": ""BATCH_835"", ""risk_score"": 0.888, ""flagged"": true, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 12685"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.254.83.114,200,2026-09-09 21:22:27
56,USR_1083,RISK_FLAG_OVERRIDE,ACCOUNT,11127,"{""batch"": ""BATCH_661"", ""risk_score"": 0.194, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 11127""}",10.60.120.34,200,2026-09-05 08:22:26
57,USR_1014,ORDER_CREATE,ACCOUNT,10518,"{""batch"": ""BATCH_946"", ""risk_score"": 0.199, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 10518""}",10.218.100.218,403,2026-09-13 18:06:59
58,USR_1004,ORDER_CREATE,WIRE_BATCH,14887,"{""batch"": ""BATCH_140"", ""risk_score"": 0.367, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 14887""}",10.155.21.103,400,2026-08-21 22:35:16
59,USR_1009,RISK_FLAG_OVERRIDE,CUSTOMER,13889,"{""batch"": ""BATCH_921"", ""risk_score"": 0.086, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 13889""}",10.235.25.172,403,2026-09-01 00:06:37
60,USR_1070,BALANCE_INQUIRY,AUTH_SESSION,14643,"{""batch"": ""BATCH_546"", ""risk_score"": 0.904, ""flagged"": true, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 14643"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.207.99.162,200,2026-08-26 18:17:39
61,USR_1033,ORDER_UPDATE,AUTH_SESSION,14950,"{""batch"": ""BATCH_125"", ""risk_score"": 0.312, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 14950""}",10.41.126.139,200,2026-09-15 20:39:52
62,USR_1008,ORDER_CREATE,ORDER,12248,"{""batch"": ""BATCH_940"", ""risk_score"": 0.901, ""flagged"": true, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 12248"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.208.255.204,403,2026-09-10 09:12:40
63,USR_1057,POLICY_EVAL,ORDER,14788,"{""batch"": ""BATCH_981"", ""risk_score"": 0.342, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 14788""}",10.204.14.25,500,2026-08-20 17:13:17
64,USR_1073,ACCOUNT_AUTH,ORDER,13686,"{""batch"": ""BATCH_532"", ""risk_score"": 0.31, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 13686""}",10.247.238.195,200,2026-08-25 01:59:33
65,USR_1020,TRANSFER_INITIATE,WIRE_BATCH,10035,"{""batch"": ""BATCH_357"", ""risk_score"": 0.7, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 10035""}",10.117.156.116,200,2026-09-09 04:54:23
66,USR_1059,ACCOUNT_AUTH,CUSTOMER,11554,"{""batch"": ""BATCH_846"", ""risk_score"": 0.156, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 11554""}",10.180.93.137,201,2026-09-13 06:25:54
67,USR_1073,RISK_FLAG_OVERRIDE,ACCOUNT,12956,"{""batch"": ""BATCH_825"", ""risk_score"": 0.502, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 12956""}",10.234.87.159,200,2026-08-29 06:13:03
68,USR_1081,BALANCE_INQUIRY,AUTH_SESSION,10131,"{""batch"": ""BATCH_267"", ""risk_score"": 0.696, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 10131""}",10.15.124.148,403,2026-09-08 09:24:11
69,USR_1026,KYC_VERIFY,AUTH_SESSION,12345,"{""batch"": ""BATCH_646"", ""risk_score"": 0.29, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 12345""}",10.232.127.150,200,2026-09-03 07:32:36
70,USR_1093,POLICY_EVAL,CUSTOMER,11073,"{""batch"": ""BATCH_827"", ""risk_score"": 0.245, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 11073""}",10.213.232.104,200,2026-08-26 08:57:56
71,USR_1061,TRANSFER_INITIATE,CUSTOMER,11850,"{""batch"": ""BATCH_950"", ""risk_score"": 0.24, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11850""}",10.1.199.162,200,2026-08-21 13:37:20
72,USR_1014,POLICY_EVAL,AUTH_SESSION,11593,"{""batch"": ""BATCH_351"", ""risk_score"": 0.275, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 11593""}",10.59.134.177,200,2026-08-23 06:48:09
73,USR_1048,POLICY_EVAL,ACCOUNT,12093,"{""batch"": ""BATCH_805"", ""risk_score"": 0.975, ""flagged"": true, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 12093"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.212.108.103,200,2026-09-13 11:08:38
74,USR_1072,POLICY_EVAL,ACCOUNT,11779,"{""batch"": ""BATCH_299"", ""risk_score"": 0.367, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 11779""}",10.145.141.69,400,2026-09-05 10:46:40
75,USR_1092,ORDER_CREATE,CUSTOMER,11667,"{""batch"": ""BATCH_377"", ""risk_score"": 0.864, ""flagged"": true, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 11667"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.43.39.27,500,2026-09-04 07:21:23
76,USR_1034,KYC_VERIFY,CUSTOMER,14651,"{""batch"": ""BATCH_440"", ""risk_score"": 0.478, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 14651""}",10.85.41.162,201,2026-08-27 13:03:25
77,USR_1081,KYC_VERIFY,AUTH_SESSION,11947,"{""batch"": ""BATCH_617"", ""risk_score"": 0.117, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11947""}",10.38.82.160,200,2026-08-24 19:05:43
78,USR_1053,KYC_VERIFY,AUTH_SESSION,11423,"{""batch"": ""BATCH_357"", ""risk_score"": 0.657, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11423""}",10.91.226.45,201,2026-09-09 05:29:17
79,USR_1094,TRANSFER_INITIATE,CUSTOMER,11757,"{""batch"": ""BATCH_767"", ""risk_score"": 0.899, ""flagged"": true, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 11757"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.253.191.196,200,2026-09-05 07:21:24
80,USR_1031,ORDER_UPDATE,ORDER,13807,"{""batch"": ""BATCH_423"", ""risk_score"": 0.803, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 13807""}",10.188.38.205,200,2026-09-01 07:37:00
81,USR_1062,ACCOUNT_AUTH,ACCOUNT,10400,"{""batch"": ""BATCH_447"", ""risk_score"": 0.949, ""flagged"": true, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 10400"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.87.133.84,200,2026-08-22 12:34:23
82,USR_1004,ORDER_CREATE,ACCOUNT,12057,"{""batch"": ""BATCH_514"", ""risk_score"": 0.97, ""flagged"": true, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 12057"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.244.196.241,200,2026-09-02 19:14:39
83,USR_1027,ORDER_UPDATE,ORDER,12201,"{""batch"": ""BATCH_747"", ""risk_score"": 0.417, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 12201""}",10.215.199.30,200,2026-09-06 03:43:47
84,USR_1077,POLICY_EVAL,ACCOUNT,13653,"{""batch"": ""BATCH_416"", ""risk_score"": 0.605, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 13653""}",10.32.251.154,200,2026-09-06 13:12:39
85,USR_1044,ORDER_UPDATE,AUTH_SESSION,10636,"{""batch"": ""BATCH_969"", ""risk_score"": 0.767, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 10636""}",10.42.179.149,200,2026-08-23 19:02:47
86,USR_1014,ACCOUNT_AUTH,CUSTOMER,10019,"{""batch"": ""BATCH_242"", ""risk_score"": 0.723, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 10019""}",10.41.212.12,200,2026-08-31 04:04:27
87,USR_1098,ORDER_UPDATE,ACCOUNT,13938,"{""batch"": ""BATCH_269"", ""risk_score"": 0.557, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 13938""}",10.212.116.164,200,2026-08-24 07:12:56
88,USR_1023,ORDER_UPDATE,WIRE_BATCH,13204,"{""batch"": ""BATCH_181"", ""risk_score"": 0.269, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 13204""}",10.151.72.96,200,2026-09-10 06:08:55
89,USR_1080,POLICY_EVAL,AUTH_SESSION,14953,"{""batch"": ""BATCH_933"", ""risk_score"": 0.634, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 14953""}",10.133.83.9,200,2026-08-22 02:21:15
90,USR_1037,ORDER_CREATE,CUSTOMER,12210,"{""batch"": ""BATCH_239"", ""risk_score"": 0.262, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 12210""}",10.243.114.216,500,2026-08-27 01:20:44
91,USR_1032,POLICY_EVAL,ORDER,12900,"{""batch"": ""BATCH_692"", ""risk_score"": 0.371, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 12900""}",10.164.139.117,400,2026-09-10 15:59:14
92,USR_1090,POLICY_EVAL,ACCOUNT,14013,"{""batch"": ""BATCH_819"", ""risk_score"": 0.76, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 14013""}",10.87.117.8,400,2026-09-03 02:03:48
93,USR_1064,RISK_FLAG_OVERRIDE,WIRE_BATCH,13844,"{""batch"": ""BATCH_775"", ""risk_score"": 0.814, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 13844""}",10.106.199.114,403,2026-08-19 14:15:34
94,USR_1061,KYC_VERIFY,ORDER,10331,"{""batch"": ""BATCH_477"", ""risk_score"": 0.585, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 10331""}",10.139.52.82,200,2026-09-01 10:51:29
95,USR_1030,ORDER_UPDATE,ACCOUNT,12794,"{""batch"": ""BATCH_927"", ""risk_score"": 0.435, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 12794""}",10.68.182.197,403,2026-09-06 10:04:33
96,USR_1055,ORDER_UPDATE,WIRE_BATCH,13434,"{""batch"": ""BATCH_316"", ""risk_score"": 0.36, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 13434""}",10.239.201.5,500,2026-09-03 16:20:58
97,USR_1011,ACCOUNT_AUTH,ORDER,10467,"{""batch"": ""BATCH_190"", ""risk_score"": 0.5, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 10467""}",10.199.84.170,200,2026-09-06 06:08:28
98,USR_1040,KYC_VERIFY,ORDER,14313,"{""batch"": ""BATCH_123"", ""risk_score"": 0.869, ""flagged"": true, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 14313"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.142.176.150,201,2026-08-21 18:42:26
