recon_id,source_system,external_ref,internal_order_id,amount,currency,status,discrepancy_reason,reconciled_at
80019,SWIFT_FIN,EXT-8444870,11401,15382.39,USD,MATCHED,,2026-09-04 18:24:17
80020,FED_ACH_CLEARING,EXT-1056146,10956,35051.12,USD,MATCHED,,2026-09-04 13:15:32
80021,SWIFT_FIN,EXT-9911495,12246,3344.18,USD,MATCHED,,2026-09-13 05:50:22
80022,SWIFT_FIN,EXT-9557360,13129,956.58,USD,MATCHED,,2026-09-12 16:15:57
80023,FED_ACH_CLEARING,EXT-8108035,12282,72806.12,USD,MATCHED,,2026-09-17 17:25:20
80024,INTERNAL_LEDGER,EXT-6506144,14629,61865.36,USD,MATCHED,,2026-09-14 09:01:18
80025,FED_ACH_CLEARING,EXT-2131091,13300,10536.96,USD,MATCHED,,2026-09-11 13:53:00
80026,INTERNAL_LEDGER,EXT-6743755,13964,47283.19,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-17 12:56:55
80027,CARD_PAYMENT_GATEWAY,EXT-9139895,14826,11191.14,USD,MATCHED,,2026-09-14 16:04:57
80028,SWIFT_FIN,EXT-6764146,13386,56550.08,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-13 20:49:50
80029,CARD_PAYMENT_GATEWAY,EXT-3062395,14298,39227.94,USD,MATCHED,,2026-09-11 00:44:38
80030,CARD_PAYMENT_GATEWAY,EXT-6307317,12345,73241.77,USD,MATCHED,,2026-09-04 11:22:43
80031,SWIFT_FIN,EXT-7455980,12460,1157.51,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-04 09:23:01
80032,FED_ACH_CLEARING,EXT-8112392,12659,35445.19,USD,MATCHED,,2026-09-16 12:51:25
80033,INTERNAL_LEDGER,EXT-5868209,13532,84453.84,USD,MATCHED,,2026-09-08 01:32:22
80034,FED_ACH_CLEARING,EXT-7989185,13363,63637.95,USD,MATCHED,,2026-09-04 13:42:30
80035,CARD_PAYMENT_GATEWAY,EXT-8583785,10977,76297.48,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-11 18:56:03
80036,SWIFT_FIN,EXT-7275253,10933,70323.69,USD,MATCHED,,2026-09-15 22:11:14
80037,SWIFT_FIN,EXT-3454086,10215,47877.13,USD,MATCHED,,2026-09-08 00:11:13
80038,CARD_PAYMENT_GATEWAY,EXT-3853265,13137,11147.27,USD,MATCHED,,2026-09-13 07:46:53
80039,SWIFT_FIN,EXT-8543782,12343,73007.94,USD,DISCREPANCY,FEE_DEDUCTION_VARIANCE,2026-09-07 13:57:22
80040,INTERNAL_LEDGER,EXT-8416507,11230,10902.06,USD,MATCHED,,2026-09-11 17:27:08
80041,SWIFT_FIN,EXT-4042348,12021,29653.39,USD,MATCHED,,2026-09-14 03:57:29
80042,INTERNAL_LEDGER,EXT-2979244,14721,30727.43,USD,MATCHED,,2026-09-08 14:46:36
80043,SWIFT_FIN,EXT-2344438,13384,39170.96,USD,MATCHED,,2026-09-10 21:55:47
80044,INTERNAL_LEDGER,EXT-9873963,12880,40394.15,USD,MATCHED,,2026-09-17 01:51:30
80045,SWIFT_FIN,EXT-2940507,11128,44561.45,USD,MATCHED,,2026-09-16 00:34:04
80046,INTERNAL_LEDGER,EXT-8818677,14168,17422.84,USD,MATCHED,,2026-09-15 11:11:57
80047,SWIFT_FIN,EXT-4222446,11283,25899.5,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-15 09:09:40
80048,FED_ACH_CLEARING,EXT-5880071,12057,54297.37,USD,MATCHED,,2026-09-04 09:04:11
80049,FED_ACH_CLEARING,EXT-4033087,11538,27967.77,USD,MATCHED,,2026-09-06 01:09:30
80050,FED_ACH_CLEARING,EXT-8969315,11898,841.75,USD,MATCHED,,2026-09-12 04:48:55
80051,FED_ACH_CLEARING,EXT-7025237,11119,20029.73,USD,MATCHED,,2026-09-09 09:28:29
80052,FED_ACH_CLEARING,EXT-9203414,11888,3445.09,USD,MATCHED,,2026-09-07 04:06:15
80053,SWIFT_FIN,EXT-7887449,10753,72585.39,USD,MATCHED,,2026-09-17 10:59:05
80054,FED_ACH_CLEARING,EXT-8354774,14782,59697.02,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-13 20:43:59
80055,INTERNAL_LEDGER,EXT-1859576,12248,16628.83,USD,MATCHED,,2026-09-10 17:16:56
80056,SWIFT_FIN,EXT-5167311,12863,14031.54,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-10 04:50:09
80057,FED_ACH_CLEARING,EXT-1975657,14916,66154.44,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-06 20:01:12
80058,FED_ACH_CLEARING,EXT-5236906,14649,31175.15,USD,MATCHED,,2026-09-08 21:58:39
80059,CARD_PAYMENT_GATEWAY,EXT-5101814,12449,69969.91,USD,MATCHED,,2026-09-04 07:43:57
80060,INTERNAL_LEDGER,EXT-9345743,10180,14684.24,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-14 19:25:40
80061,SWIFT_FIN,EXT-3738354,14549,36732.23,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-16 21:17:56
80062,INTERNAL_LEDGER,EXT-5297331,11336,32086.7,USD,MATCHED,,2026-09-08 10:40:33
80063,SWIFT_FIN,EXT-6269553,11864,83758.96,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-08 06:04:20
80064,FED_ACH_CLEARING,EXT-9981507,12813,57475.21,USD,MATCHED,,2026-09-05 05:57:00
80065,CARD_PAYMENT_GATEWAY,EXT-6665000,11478,74639.61,USD,MATCHED,,2026-09-14 05:57:29
80066,FED_ACH_CLEARING,EXT-9577946,12979,63691.51,USD,MATCHED,,2026-09-05 02:16:44
80067,INTERNAL_LEDGER,EXT-2889153,12636,46014.15,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-14 22:01:45
80068,FED_ACH_CLEARING,EXT-8311198,10528,84843.07,USD,MATCHED,,2026-09-14 00:51:58
80069,SWIFT_FIN,EXT-1135157,11791,68097.36,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-14 06:50:04
80070,CARD_PAYMENT_GATEWAY,EXT-4327905,12508,54683.77,USD,MATCHED,,2026-09-09 14:19:13
80071,FED_ACH_CLEARING,EXT-8064579,11627,15687.78,USD,MATCHED,,2026-09-06 13:08:01
80072,SWIFT_FIN,EXT-6379353,12629,76141.78,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-07 03:42:33
80073,SWIFT_FIN,EXT-9876660,14888,37968.29,USD,MATCHED,,2026-09-11 20:01:54
80074,INTERNAL_LEDGER,EXT-4962711,12583,4844.17,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-07 09:07:38
80075,CARD_PAYMENT_GATEWAY,EXT-9367309,13278,65522.74,USD,DISCREPANCY,TIMESTAMP_SLIPPAGE,2026-09-07 20:17:10
80076,INTERNAL_LEDGER,EXT-2517336,14081,43305.0,USD,DISCREPANCY,TIMESTAMP_SLIPPAGE,2026-09-14 05:17:25
80077,SWIFT_FIN,EXT-6861438,12049,45876.66,USD,MATCHED,,2026-09-16 14:05:17
80078,SWIFT_FIN,EXT-2779753,12446,50393.42,USD,MATCHED,,2026-09-06 17:09:24
80079,INTERNAL_LEDGER,EXT-5129966,14585,47155.27,USD,MATCHED,,2026-09-08 08:40:35
80080,SWIFT_FIN,EXT-3518429,14607,43401.05,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-08 07:40:11
80081,CARD_PAYMENT_GATEWAY,EXT-1700042,10773,3851.86,USD,MATCHED,,2026-09-11 12:21:49
80082,INTERNAL_LEDGER,EXT-4335692,13648,59876.71,USD,MATCHED,,2026-09-11 21:47:28
80083,CARD_PAYMENT_GATEWAY,EXT-9394973,14535,8845.08,USD,MATCHED,,2026-09-04 02:37:25
80084,FED_ACH_CLEARING,EXT-4043031,12072,1134.18,USD,MATCHED,,2026-09-15 18:45:41
80085,FED_ACH_CLEARING,EXT-8302987,10303,20072.7,USD,MATCHED,,2026-09-17 10:26:01
80086,FED_ACH_CLEARING,EXT-3975029,11771,76538.4,USD,MATCHED,,2026-09-05 02:38:32
80087,FED_ACH_CLEARING,EXT-4136194,13689,24795.82,USD,MATCHED,,2026-09-12 21:53:35
80088,INTERNAL_LEDGER,EXT-3217223,12501,33210.83,USD,MATCHED,,2026-09-11 02:09:13
80089,INTERNAL_LEDGER,EXT-9421328,10444,45818.34,USD,MATCHED,,2026-09-05 15:10:57
80090,FED_ACH_CLEARING,EXT-9200801,14589,30797.47,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-13 16:37:19
80091,INTERNAL_LEDGER,EXT-4111847,10790,57137.85,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-15 21:23:26
80092,FED_ACH_CLEARING,EXT-9674829,13376,54895.76,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-09 18:57:28
80093,CARD_PAYMENT_GATEWAY,EXT-3865229,14688,82358.32,USD,DISCREPANCY,TIMESTAMP_SLIPPAGE,2026-09-15 06:19:07
80094,CARD_PAYMENT_GATEWAY,EXT-1927271,12198,1608.62,USD,MATCHED,,2026-09-14 02:28:58
80095,SWIFT_FIN,EXT-7980597,12825,62799.51,USD,MATCHED,,2026-09-09 00:01:26
80096,INTERNAL_LEDGER,EXT-8281401,13760,56613.14,USD,MATCHED,,2026-09-11 09:42:10
80097,INTERNAL_LEDGER,EXT-4736762,10658,60933.9,USD,MATCHED,,2026-09-04 02:07:08
80098,FED_ACH_CLEARING,EXT-1406648,12124,45719.48,USD,MATCHED,,2026-09-12 18:40:20
80099,CARD_PAYMENT_GATEWAY,EXT-7860860,13826,69656.83,USD,MATCHED,,2026-09-10 22:34:42
80100,SWIFT_FIN,EXT-8717022,13810,28414.32,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-07 01:14:22
80101,INTERNAL_LEDGER,EXT-5415276,10531,25016.98,USD,MATCHED,,2026-09-16 21:09:52
80102,CARD_PAYMENT_GATEWAY,EXT-7003641,11234,9917.43,USD,MATCHED,,2026-09-07 20:32:07
80103,FED_ACH_CLEARING,EXT-9473712,10434,15339.58,USD,MATCHED,,2026-09-08 19:29:31
80104,INTERNAL_LEDGER,EXT-8810117,11243,31708.77,USD,MATCHED,,2026-09-08 00:16:03
80105,FED_ACH_CLEARING,EXT-4234378,10786,80201.88,USD,MATCHED,,2026-09-16 08:47:16
80106,CARD_PAYMENT_GATEWAY,EXT-6663812,10384,68391.77,USD,MATCHED,,2026-09-10 21:49:05
80107,CARD_PAYMENT_GATEWAY,EXT-5141277,13471,19713.38,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-17 15:35:53
80108,CARD_PAYMENT_GATEWAY,EXT-7304006,10246,83761.55,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-09 11:48:47
80109,SWIFT_FIN,EXT-6081667,11483,82150.18,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-12 01:12:59
80110,FED_ACH_CLEARING,EXT-2118345,12002,66434.82,USD,MATCHED,,2026-09-17 14:42:53
80111,INTERNAL_LEDGER,EXT-4015740,10493,78222.32,USD,MATCHED,,2026-09-15 08:12:41
80112,FED_ACH_CLEARING,EXT-3907050,14403,15681.87,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-05 02:20:24
80113,INTERNAL_LEDGER,EXT-9241701,10152,3889.34,USD,MATCHED,,2026-09-04 00:37:19
80114,FED_ACH_CLEARING,EXT-4625650,11700,35642.5,USD,MATCHED,,2026-09-12 14:47:24
80115,INTERNAL_LEDGER,EXT-2666904,13098,45009.31,USD,MATCHED,,2026-09-10 08:52:42
80116,FED_ACH_CLEARING,EXT-7850563,10746,61329.23,USD,MATCHED,,2026-09-14 18:51:23
80117,CARD_PAYMENT_GATEWAY,EXT-6947113,11951,47329.37,USD,MATCHED,,2026-09-12 08:20:22
80118,CARD_PAYMENT_GATEWAY,EXT-2408786,14319,29482.23,USD,MATCHED,,2026-09-16 09:23:55
80119,FED_ACH_CLEARING,EXT-1687234,12041,48738.51,USD,MATCHED,,2026-09-14 04:51:16
80120,CARD_PAYMENT_GATEWAY,EXT-6439345,11490,24706.59,USD,DISCREPANCY,TIMESTAMP_SLIPPAGE,2026-09-07 22:20:52
80121,CARD_PAYMENT_GATEWAY,EXT-7871714,12828,83142.23,USD,DISCREPANCY,FEE_DEDUCTION_VARIANCE,2026-09-14 08:39:17
80122,INTERNAL_LEDGER,EXT-4408820,10660,53295.36,USD,MATCHED,,2026-09-03 22:46:13
80123,FED_ACH_CLEARING,EXT-8918643,12080,47185.74,USD,MATCHED,,2026-09-03 21:14:03
80124,INTERNAL_LEDGER,EXT-2604916,12559,56988.86,USD,MATCHED,,2026-09-06 03:58:19
80125,FED_ACH_CLEARING,EXT-6765982,11596,56059.46,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-15 08:55:48
80126,CARD_PAYMENT_GATEWAY,EXT-6662496,12511,51123.48,USD,MATCHED,,2026-09-07 17:05:53
80127,CARD_PAYMENT_GATEWAY,EXT-4295227,13047,6300.21,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-04 09:11:38
80128,CARD_PAYMENT_GATEWAY,EXT-4771196,11532,40274.14,USD,MATCHED,,2026-09-05 09:33:53
80129,INTERNAL_LEDGER,EXT-3854824,11710,78272.2,USD,MATCHED,,2026-09-04 13:53:10
80130,SWIFT_FIN,EXT-7811607,11756,32356.05,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-17 10:29:33
80131,SWIFT_FIN,EXT-1155864,13957,58155.11,USD,DISCREPANCY,TIMESTAMP_SLIPPAGE,2026-09-04 14:27:22
80132,INTERNAL_LEDGER,EXT-4938016,14750,83544.93,USD,DISCREPANCY,FEE_DEDUCTION_VARIANCE,2026-09-14 02:30:01
80133,SWIFT_FIN,EXT-8849018,11208,33900.28,USD,MATCHED,,2026-09-17 02:09:53
80134,FED_ACH_CLEARING,EXT-8472045,11804,44381.07,USD,MATCHED,,2026-09-10 17:57:12
80135,SWIFT_FIN,EXT-3428486,11001,63588.59,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-11 21:11:46
80136,FED_ACH_CLEARING,EXT-9823668,13286,9863.55,USD,MATCHED,,2026-09-11 09:36:31
80137,CARD_PAYMENT_GATEWAY,EXT-2925094,11858,9490.04,USD,MATCHED,,2026-09-17 16:22:58
80138,INTERNAL_LEDGER,EXT-9824809,11470,45556.9,USD,MATCHED,,2026-09-04 10:40:09
80139,CARD_PAYMENT_GATEWAY,EXT-5092152,14466,62710.26,USD,MATCHED,,2026-09-16 09:01:28
80140,INTERNAL_LEDGER,EXT-9631153,13705,19701.07,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-08 00:28:01
80141,CARD_PAYMENT_GATEWAY,EXT-7006181,14183,81492.54,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-12 12:25:39
80142,INTERNAL_LEDGER,EXT-2298930,10735,491.68,USD,MATCHED,,2026-09-08 02:20:48
80143,FED_ACH_CLEARING,EXT-1630452,11909,40855.08,USD,MATCHED,,2026-09-12 10:53:57
80144,SWIFT_FIN,EXT-8556957,14725,39030.18,USD,MATCHED,,2026-09-16 12:49:25
80145,CARD_PAYMENT_GATEWAY,EXT-2614648,13381,73815.58,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-05 11:03:05
80146,FED_ACH_CLEARING,EXT-5452069,11894,73830.34,USD,MATCHED,,2026-09-13 19:06:31
80147,SWIFT_FIN,EXT-5490027,14991,48385.67,USD,MATCHED,,2026-09-06 03:33:34
80148,CARD_PAYMENT_GATEWAY,EXT-8599002,10839,14830.35,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-17 01:42:46
80149,INTERNAL_LEDGER,EXT-3465563,11395,26869.86,USD,MATCHED,,2026-09-10 12:31:09
80150,INTERNAL_LEDGER,EXT-5762392,14750,51184.68,USD,MATCHED,,2026-09-14 04:32:09
80151,INTERNAL_LEDGER,EXT-6371531,13725,40622.84,USD,MATCHED,,2026-09-15 23:01:42
80152,CARD_PAYMENT_GATEWAY,EXT-5494650,10674,23156.35,USD,MATCHED,,2026-09-04 23:14:56
80153,CARD_PAYMENT_GATEWAY,EXT-9199592,12019,64716.62,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-06 18:16:27
80154,CARD_PAYMENT_GATEWAY,EXT-7448779,13105,41770.08,USD,MATCHED,,2026-09-05 15:11:54
80155,FED_ACH_CLEARING,EXT-6558133,12056,50109.39,USD,MATCHED,,2026-09-15 04:37:29
80156,FED_ACH_CLEARING,EXT-3605703,14332,10282.39,USD,MATCHED,,2026-09-07 19:05:32
80157,SWIFT_FIN,EXT-7357802,14802,71972.14,USD,DISCREPANCY,TIMESTAMP_SLIPPAGE,2026-09-10 10:55:19
80158,INTERNAL_LEDGER,EXT-3364274,14878,3545.65,USD,MATCHED,,2026-09-16 17:57:53
80159,FED_ACH_CLEARING,EXT-5670205,12474,72473.21,USD,MATCHED,,2026-09-13 22:52:51
80160,SWIFT_FIN,EXT-4137168,11910,69921.8,USD,MATCHED,,2026-09-15 14:26:38
80161,FED_ACH_CLEARING,EXT-3587806,14184,64925.91,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-04 10:29:40
80162,CARD_PAYMENT_GATEWAY,EXT-3177780,11692,22365.06,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-15 15:13:05
80163,SWIFT_FIN,EXT-7369125,14436,16210.77,USD,MATCHED,,2026-09-14 19:35:59
80164,FED_ACH_CLEARING,EXT-6123975,12356,29937.32,USD,MATCHED,,2026-09-14 20:34:52
80165,FED_ACH_CLEARING,EXT-4850993,10519,24362.51,USD,MATCHED,,2026-09-10 17:36:31
80166,FED_ACH_CLEARING,EXT-5682507,10328,73595.8,USD,MATCHED,,2026-09-12 16:15:17
80167,FED_ACH_CLEARING,EXT-1123067,12459,36320.05,USD,MATCHED,,2026-09-08 03:28:14
80168,INTERNAL_LEDGER,EXT-5703773,14587,70384.01,USD,MATCHED,,2026-09-06 14:37:34
80169,CARD_PAYMENT_GATEWAY,EXT-9089774,11833,53260.91,USD,MATCHED,,2026-09-05 16:13:07
80170,CARD_PAYMENT_GATEWAY,EXT-8885588,14316,20121.14,USD,MATCHED,,2026-09-09 02:27:46
80171,CARD_PAYMENT_GATEWAY,EXT-4471101,14489,10290.77,USD,MATCHED,,2026-09-11 18:37:47
80172,CARD_PAYMENT_GATEWAY,EXT-8637496,13802,9476.32,USD,DISCREPANCY,TIMESTAMP_SLIPPAGE,2026-09-12 08:23:50
80173,CARD_PAYMENT_GATEWAY,EXT-5612742,10491,38233.79,USD,MATCHED,,2026-09-14 08:11:38
80174,INTERNAL_LEDGER,EXT-6412361,14955,74554.13,USD,MATCHED,,2026-09-07 22:08:19
80175,INTERNAL_LEDGER,EXT-8965712,14376,7396.22,USD,MATCHED,,2026-09-17 08:31:45
80176,CARD_PAYMENT_GATEWAY,EXT-5586762,13351,15748.43,USD,MATCHED,,2026-09-03 22:04:01
80177,FED_ACH_CLEARING,EXT-5922914,11263,55187.13,USD,MATCHED,,2026-09-07 09:04:33
80178,FED_ACH_CLEARING,EXT-8037092,10006,74959.95,USD,MATCHED,,2026-09-07 00:46:38
80179,INTERNAL_LEDGER,EXT-1478664,10117,38056.12,USD,MATCHED,,2026-09-08 10:34:05
80180,CARD_PAYMENT_GATEWAY,EXT-5491624,14327,52353.31,USD,DISCREPANCY,FEE_DEDUCTION_VARIANCE,2026-09-06 09:48:27
80181,CARD_PAYMENT_GATEWAY,EXT-7647092,11188,69944.67,USD,MATCHED,,2026-09-14 15:17:47
80182,INTERNAL_LEDGER,EXT-7312126,11596,61506.0,USD,DISCREPANCY,TIMESTAMP_SLIPPAGE,2026-09-05 20:33:12
80183,INTERNAL_LEDGER,EXT-1894167,11904,14612.96,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-13 10:33:51
80184,SWIFT_FIN,EXT-3238772,12548,51664.24,USD,MATCHED,,2026-09-06 03:15:16
80185,CARD_PAYMENT_GATEWAY,EXT-3086495,11706,53764.2,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-12 19:55:05
80186,CARD_PAYMENT_GATEWAY,EXT-8859317,12173,3807.27,USD,DISCREPANCY,FEE_DEDUCTION_VARIANCE,2026-09-06 00:56:02
80187,SWIFT_FIN,EXT-9277468,11404,16577.4,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-04 02:06:44
80188,INTERNAL_LEDGER,EXT-6944140,12903,45464.15,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-10 15:28:29
80189,SWIFT_FIN,EXT-9956373,10203,46992.13,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-06 03:58:42
80190,INTERNAL_LEDGER,EXT-3907848,11718,35215.41,USD,MATCHED,,2026-09-04 09:47:51
80191,INTERNAL_LEDGER,EXT-2805920,10868,8166.91,USD,MATCHED,,2026-09-14 08:05:42
80192,INTERNAL_LEDGER,EXT-2212082,10201,2729.88,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-10 10:35:18
80193,SWIFT_FIN,EXT-6235807,10463,27486.04,USD,MATCHED,,2026-09-12 12:07:33
80194,SWIFT_FIN,EXT-6605846,13584,59070.28,USD,MATCHED,,2026-09-11 04:07:40
80195,FED_ACH_CLEARING,EXT-9582997,10303,58744.64,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-15 08:02:24
80196,CARD_PAYMENT_GATEWAY,EXT-7406002,13299,12139.8,USD,DISCREPANCY,FEE_DEDUCTION_VARIANCE,2026-09-08 01:24:51
80197,CARD_PAYMENT_GATEWAY,EXT-4363807,11687,51882.93,USD,DISCREPANCY,FEE_DEDUCTION_VARIANCE,2026-09-12 16:32:52
80198,SWIFT_FIN,EXT-7375556,13681,39718.16,USD,MATCHED,,2026-09-04 10:37:54
80199,SWIFT_FIN,EXT-2553348,10200,47821.93,USD,MATCHED,,2026-09-04 14:39:58
80200,INTERNAL_LEDGER,EXT-9471657,13432,43249.27,USD,MATCHED,,2026-09-12 13:06:36
80201,CARD_PAYMENT_GATEWAY,EXT-3106181,13109,75293.82,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-07 05:24:10
80202,FED_ACH_CLEARING,EXT-1599846,10403,12658.1,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-04 15:08:23
80203,SWIFT_FIN,EXT-1696992,12206,27225.97,USD,MATCHED,,2026-09-15 16:06:13
80204,SWIFT_FIN,EXT-3713940,11424,65159.42,USD,MATCHED,,2026-09-13 02:52:03
80205,CARD_PAYMENT_GATEWAY,EXT-6218335,10807,30685.45,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-07 03:12:45
80206,CARD_PAYMENT_GATEWAY,EXT-4572796,12132,81488.06,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-07 02:29:27
80207,INTERNAL_LEDGER,EXT-4935670,12302,31727.51,USD,MATCHED,,2026-09-04 09:33:41
80208,FED_ACH_CLEARING,EXT-7178153,13289,75531.57,USD,DISCREPANCY,TIMESTAMP_SLIPPAGE,2026-09-16 18:27:41
80209,FED_ACH_CLEARING,EXT-4377141,14231,63263.81,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-03 23:36:06
80210,CARD_PAYMENT_GATEWAY,EXT-3592606,14737,31874.28,USD,DISCREPANCY,FEE_DEDUCTION_VARIANCE,2026-09-15 13:17:05
80211,SWIFT_FIN,EXT-1703027,11697,36410.71,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-16 12:18:48
80212,CARD_PAYMENT_GATEWAY,EXT-1128012,10962,72733.58,USD,MATCHED,,2026-09-11 18:10:46
80213,FED_ACH_CLEARING,EXT-8757019,11198,45844.43,USD,MATCHED,,2026-09-04 23:43:21
80214,INTERNAL_LEDGER,EXT-6734717,11503,78628.92,USD,MATCHED,,2026-09-13 09:20:14
80215,SWIFT_FIN,EXT-4604679,12324,5559.89,USD,DISCREPANCY,TIMESTAMP_SLIPPAGE,2026-09-06 14:34:50
80216,FED_ACH_CLEARING,EXT-1223755,11449,78491.01,USD,MATCHED,,2026-09-12 11:46:35
80217,INTERNAL_LEDGER,EXT-5681342,13302,59954.13,USD,MATCHED,,2026-09-16 16:08:18
80218,CARD_PAYMENT_GATEWAY,EXT-7991238,14785,62665.65,USD,MATCHED,,2026-09-07 12:18:44
80219,INTERNAL_LEDGER,EXT-9393330,12636,30561.41,USD,MATCHED,,2026-09-10 00:33:26
80220,INTERNAL_LEDGER,EXT-8262133,14349,57384.24,USD,MATCHED,,2026-09-07 11:50:21
80221,INTERNAL_LEDGER,EXT-4524495,10116,36964.59,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-04 17:19:02
80222,SWIFT_FIN,EXT-5165009,12429,28525.58,USD,MATCHED,,2026-09-06 12:55:01
80223,FED_ACH_CLEARING,EXT-9375971,12071,46092.39,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-07 15:31:25
80224,SWIFT_FIN,EXT-6151951,14008,23883.05,USD,MATCHED,,2026-09-15 19:40:24
80225,CARD_PAYMENT_GATEWAY,EXT-2594978,13707,36202.81,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-13 14:47:31
